k, cross_val_score, training_score, testing_score
1,0.7155555555561,1.01,0.72
2,0.6644444444442,0.8844444444442,0.74
3,0.7088888888893,0.8777777777783,0.88
4,0.6977777777784,0.8311111111114,0.82
5,0.7311111111115,0.8333333333335,0.82
6,0.726,0.8022222222226,0.8
7,0.7377777777787,0.8044444444447,0.8
8,0.7466666666678,0.7888888888898,0.82
9,0.7466666666679,0.7977777777789,0.82
10,0.74666666666710,0.78888888888910,0.78
11,0.74444444444411,0.78444444444411,0.8
12,0.74888888888912,0.78444444444412,0.76
13,0.75111111111113,0.78222222222213,0.78
14,0.75111111111114,0.7814,0.78
15,0.74888888888915,0.78444444444415,0.82
16,0.75777777777816,0.77555555555616,0.78
17,0.74888888888917,0.78666666666717,0.82
18,0.74888888888918,0.77333333333318,0.84
19,0.74888888888919,0.76888888888919,0.82
20,0.75555555555620,0.76222222222220,0.84
21,0.75111111111121,0.7621,0.82
22,0.74666666666722,0.76666666666722,0.82
23,0.75555555555623,0.7623,0.8
24,0.75555555555624,0.7624,0.8
25,0.76222222222225,0.75333333333325,0.8
