k, cross_val_score, training_score, testing_score
1,0.71013088417, 1.0, 0.72
2,0.633706120865, 0.884444444444, 0.74
3,0.694010376771, 0.877777777778, 0.88
4,0.680167141588, 0.831111111111, 0.82
5,0.71832322211, 0.833333333333, 0.82
6,0.709282664869, 0.802222222222, 0.8
7,0.720602690198, 0.804444444444, 0.8
8,0.722227328901, 0.788888888889, 0.82
9,0.733540613414, 0.797777777778, 0.82
10,0.724596674531, 0.788888888889, 0.78
11,0.744555106168, 0.784444444444, 0.8
12,0.737888439501, 0.784444444444, 0.76
13,0.746784069206, 0.782222222222, 0.78
14,0.746441513211, 0.78, 0.78
15,0.744616896978, 0.784444444444, 0.82
16,0.744361869453, 0.775555555556, 0.78
17,0.7468391192, 0.786666666667, 0.82
18,0.738143467026, 0.773333333333, 0.84
19,0.740165711718, 0.768888888889, 0.82
20,0.744612352034, 0.762222222222, 0.84
21,0.742691270644, 0.76, 0.82
22,0.740420739243, 0.766666666667, 0.82
23,0.744865183687, 0.76, 0.8
24,0.751490281991, 0.76, 0.8
25,0.751591445292, 0.753333333333, 0.8
